| table_schema | table_name           |
| ------------ | -------------------- |
| public       | anonymous_identities |
| public       | audit_logs           |
| public       | chat_conversations   |
| public       | chat_messages        |
| public       | chat_requests        |
| public       | chat_session_keys    |
| public       | group_bans           |
| public       | group_invites        |
| public       | group_members        |
| public       | groups               |
| public       | media_uploads        |
| public       | message_status       |
| public       | polls                |
| public       | reports              |
| public       | system_notifications |
| public       | user_blocks          |
| public       | user_encryption_keys |
| public       | user_password_resets |
| public       | user_sessions        |
| public       | user_settings        |
| public       | user_verifications   |
| public       | users                |
| public       | votes                |


| table_schema | table_name               | ordinal_position | column_name                   | data_type                | udt_name    | is_nullable | column_default                  | character_maximum_length | numeric_precision | numeric_scale |
| public       | groups                   | 1                | group_id                      | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | groups                   | 2                | group_name                    | character varying        | varchar     | NO          | null                            | 100                      | null              | null          |
| public       | groups                   | 3                | group_desc                    | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | groups                   | 4                | group_dp_url                  | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | groups                   | 5                | is_public                     | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | groups                   | 6                | is_active                     | boolean                  | bool        | YES         | true                            | null                     | null              | null          |
| public       | groups                   | 7                | max_members                   | integer                  | int4        | YES         | 500                             | null                     | 32                | 0             |
| public       | groups                   | 8                | created_by                    | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | groups                   | 9                | created_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | groups                   | 10               | updated_at                    | timestamp with time zone | timestamptz | YES         | now()                           | null                     | null              | null          |
| public       | groups_with_member_count | 1                | group_id                      | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 2                | group_name                    | character varying        | varchar     | YES         | null                            | 100                      | null              | null          |
| public       | groups_with_member_count | 3                | group_desc                    | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 4                | group_dp_url                  | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 5                | is_public                     | boolean                  | bool        | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 6                | is_active                     | boolean                  | bool        | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 7                | max_members                   | integer                  | int4        | YES         | null                            | null                     | 32                | 0             |
| public       | groups_with_member_count | 8                | created_by                    | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 9                | created_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 10               | updated_at                    | timestamp with time zone | timestamptz | YES         | null                            | null                     | null              | null          |
| public       | groups_with_member_count | 11               | member_count                  | bigint                   | int8        | YES         | null                            | null                     | 64                | 0             |
| public       | media_uploads            | 1                | media_id                      | uuid                     | uuid        | NO          | gen_random_uuid()               | null                     | null              | null          |
| public       | media_uploads            | 2                | user_id                       | uuid                     | uuid        | NO          | null                            | null                     | null              | null          |
| public       | media_uploads            | 3                | conversation_id               | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | media_uploads            | 4                | group_id                      | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | media_uploads            | 5                | message_id                    | uuid                     | uuid        | YES         | null                            | null                     | null              | null          |
| public       | media_uploads            | 6                | file_name                     | character varying        | varchar     | NO          | null                            | 255                      | null              | null          |
| public       | media_uploads            | 7                | file_type                     | character varying        | varchar     | NO          | null                            | 100                      | null              | null          |
| public       | media_uploads            | 8                | file_size                     | bigint                   | int8        | NO          | null                            | null                     | 64                | 0             |
| public       | media_uploads            | 9                | mime_type                     | character varying        | varchar     | YES         | null                            | 100                      | null              | null          |
| public       | media_uploads            | 10               | storage_path                  | text                     | text        | NO          | null                            | null                     | null              | null          |
| public       | media_uploads            | 11               | storage_bucket                | character varying        | varchar     | YES         | 'chat-media'::character varying | 100                      | null              | null          |
| public       | media_uploads            | 12               | file_key_encrypted            | text                     | text        | YES         | null                            | null                     | null              | null          |
| public       | media_uploads            | 13               | file_key_iv                   | character varying        | varchar     | YES         | null                            | 50                       | null              | null          |
| public       | media_uploads            | 14               | access_url                    | text                     | text        | YES         | null                            | null                     | null              | null          |
